Date, New followers,Viewers who commented,Likes,Shares
20/6/2022,0,0,0,0
21/6/2022,0,0,0,0
22/6/2022,0,0,0,0
23/6/2022,0,0,0,0
24/6/2022,0,0,0,0
25/6/2022,12,13,3423,5
26/6/2022,0,0,0,0
27/6/2022,7,10,8424,4
28/6/2022,0,0,0,0
29/6/2022,7,10,4245,2
30/6/2022,3,8,163,2
1/7/2022,0,0,0,0
2/7/2022,0,0,0,0
3/7/2022,2,4,4189,6
4/7/2022,0,0,0,0
5/7/2022,1,5,1165,1
6/7/2022,0,0,0,0
7/7/2022,0,0,0,0
8/7/2022,0,0,0,0
9/7/2022,0,0,0,0
10/7/2022,3,8,5169,14
11/7/2022,1,3,3589,15
12/7/2022,0,0,0,0
13/7/2022,0,0,0,0
14/7/2022,19,19,7575,14
15/7/2022,0,0,0,0
16/7/2022,8,11,4699,3
17/7/2022,0,0,0,0
18/7/2022,8,24,6062,7
19/7/2022,1,10,9215,8
20/7/2022,4,7,3287,9
21/7/2022,1,4,1104,3
22/7/2022,2,15,4583,7
23/7/2022,4,18,6063,10
24/7/2022,4,4,1486,3
25/7/2022,0,0,0,0
26/7/2022,0,0,0,0
27/7/2022,0,0,0,0
28/7/2022,0,0,0,0
29/7/2022,0,0,0,0
30/7/2022,0,0,0,0
31/7/2022,0,0,0,0
1/8/2022,0,0,0,0
2/8/2022,0,0,0,0
3/8/2022,0,0,0,0
4/8/2022,2,14,6055,13
5/8/2022,0,0,0,0
6/8/2022,0,0,0,0
7/8/2022,0,0,0,0
8/8/2022,0,0,0,0
9/8/2022,0,0,0,0
10/8/2022,0,0,0,0
11/8/2022,0,0,0,0
12/8/2022,0,0,0,0
13/8/2022,0,0,0,0
14/8/2022,0,0,0,0
15/8/2022,0,0,0,0
16/8/2022,0,0,0,0
17/8/2022,0,0,0,0
18/8/2022,0,0,0,0
